depArr,distance,distance_long,operation_mode,angle_sum,NDepDep,NDepArr,NArrDep,NArrArr,Pressure,VisibilityInMeters,isRain,isSnow,flightNumber,airline,aircraftModel,AvgSpdLast10,TaxiTime
0,897.5401049,0,1,610.7,0,0,0,0,30.12,10000,0,0,FR2030,RYR,B737,296.1325924,5.033333333
1,1610.58287,527.2184635,1,470.55,0,0,3,0,30.12,10000,0,0,FR3555,RYR,B738,226.0402628,3.05
0,3057.710568,1417.437268,1,927.8,1,0,0,0,30.09,10000,1,0,GM3233,GMI,A321,297.6547841,12.21666667
0,2525.606293,1969.53925,1,708.86,0,0,0,0,30.12,10000,0,0,EY8016,ETD,B789,292.3157135,15.9
1,2047.793586,1022.750186,1,347.87,0,0,0,0,30.06,10000,0,0,null,FDX,B752,273.9461041,5.716666667
0,1607.974755,1074.081608,1,717.17,0,0,0,0,30.06,10000,0,0,SN2184,BEL,A320,300.100734,7.616666667
1,2148.456717,0,1,540.07,0,0,0,0,30.15,10000,0,0,HU7903,CHH,A332,246.9370393,6.966666667
0,1808.096295,1162.383182,1,394.52,3,1,0,0,29.83,10000,0,0,LS809,EXS,B738,207.2382936,13.83333333
0,2097.413346,771.1784035,1,1007.04,4,2,0,0,29.83,10000,0,0,LX391,SWR,A320,220.9485016,14.9
0,1948.54095,1247.391005,1,450.63,4,0,0,0,29.83,10000,0,0,FR2604,RYR,B738,235.1088317,11.83333333
0,1394.990263,1074.081608,1,507.82,0,1,0,0,29.8,10000,0,0,AA735,AAL,A332,318.4996791,14.81666667
0,1533.101949,558.4022863,1,422.23,0,0,0,0,29.83,10000,0,0,BY112,TOM,B788,205.6920019,13.03333333
0,2537.114242,771.1784035,1,662.57,1,0,0,0,29.8,10000,0,0,SK2548,SAS,B738,275.378118,14.96666667
0,3600.6194,2644.762966,1,585.9,2,0,0,0,29.8,10000,0,0,null,LLC,A320,274.0777658,10.86666667
1,2482.245947,991.293446,1,434.09,0,0,0,0,29.91,10000,0,0,DL421,DAL,B752,388.8473297,9.2
1,2148.871302,1465.731216,1,422.99,0,0,3,0,29.83,10000,0,0,KL1081,KLM,B738,183.4551126,4.683333333
0,2450.345219,1417.437268,1,782.79,1,1,0,0,29.8,10000,0,0,MT2652,TCX,A332,265.0907386,20.6
dep,1817.443489,0,1,505.21,3,0,0,0,29.8,10000,0,0,null,BAW,A321,273.8970324,14.66666667
0,2430.293306,1078.779413,1,511.93,2,0,0,0,29.8,10000,0,0,LS879,EXS,B752,272.212093,11.16666667
0,1864.836002,771.1784035,1,476.66,2,0,0,0,29.8,10000,0,0,SK540,SAS,B738,271.3420568,5.833333333
dep,2717.872671,1417.437268,1,712.15,3,1,0,0,29.8,10000,0,0,null,EXS,B738,303.2348913,15.28333333
1,2132.789137,1113.910992,1,347.07,0,0,1,1,29.8,10000,0,0,null,EXS,B738,280.2523308,11.86666667
1,2473.884036,1582.733973,1,766.25,0,0,5,0,29.88,10000,0,0,FR3804,RYR,B738,199.1333652,6.533333333
1,1646.758938,1067.444269,1,450.02,0,0,2,0,29.88,10000,0,0,FR5210,RYR,B738,220.3192642,4.85
0,1857.897562,1417.437268,1,494.27,2,0,0,0,29.77,10000,0,0,MT1722,TCX,A321,264.5939582,5.183333333
0,1564.740349,1169.957521,1,494.16,2,1,0,0,29.77,10000,0,0,DY1327,NAX,B738,283.7092956,20.05
0,1173.442951,822.8717969,1,553.17,2,0,0,0,29.77,10000,0,0,KL1082,KLM,B738,278.6738204,9.016666667
0,2025.160739,1417.437268,1,495.01,3,1,0,0,29.77,10000,0,0,U21949,EZY,A320,273.7302415,16.13333333
0,3130.716687,1417.437268,1,891.64,3,0,0,0,29.77,10000,0,0,SQ51,SIA,A359,240.9768306,18.96666667
0,2812.914269,1417.437268,1,890.66,4,0,0,0,29.77,10000,0,0,LH2501,DLH,A320,236.8718776,16.33333333
0,2595.22783,1417.437268,1,803.31,3,0,0,0,29.77,10000,0,0,TK1994,THY,A321,233.8297914,20.83333333
0,2948.099757,1982.993683,1,783,4,1,0,0,29.77,10000,0,0,BY2146,TOM,B738,270.6327939,18.81666667
0,1078.031351,822.8717969,1,559.49,5,0,0,0,29.77,10000,0,0,FR5209,RYR,B738,252.1891488,10.4
0,2723.224017,1417.437268,1,781.71,4,1,0,0,29.77,10000,0,0,HU7904,CHH,A333,250.4566031,18.46666667
1,2148.871302,1465.731216,1,422.99,0,0,1,1,29.8,10000,0,0,FR3502,RYR,B738,243.7923899,4.65
0,1684.616178,1169.957521,1,441.52,3,1,0,0,29.77,10000,0,0,U21863,EZY,A320,251.9968244,9.633333333
1,2064.707711,847.9826129,1,512.16,0,0,4,0,29.83,10000,0,0,OS463,AUA,E190,187.0701945,4.716666667
0,1965.554417,1417.437268,1,494.33,2,0,0,0,29.77,10000,0,0,EI205,EIN,A320,256.9315404,10.31666667
0,918.8539123,623.3581564,1,509.92,2,2,0,0,29.77,10000,0,0,FR3803,RYR,B738,298.2199927,15.3
0,2081.118511,1417.437268,1,494.85,1,1,0,0,29.77,10000,0,0,U21837,EZY,A319,233.950237,5.683333333
0,967.3719775,623.3581564,1,516.22,1,0,0,0,29.74,10000,0,0,FR3248,RYR,B738,257.8187597,8.4
0,1009.294221,756.3860818,1,532.69,2,1,0,0,29.74,10000,0,0,FR555,RYR,B738,273.4665375,8.483333333
1,699.0478832,0,1,256.47,0,0,3,0,29.8,10000,0,0,SK4609,SAS,B737,239.4859858,1.466666667
0,1080.097017,822.8717969,1,551.73,1,0,0,0,29.74,10000,0,0,FR3501,RYR,B738,274.9982293,10.88333333
0,1564.740349,1169.957521,1,482.24,4,0,0,0,29.68,10000,0,0,DY1349,NAX,B738,184.6091442,8.3
1,1557.012395,836.489342,1,367.29,0,0,1,0,29.8,10000,0,0,ZB533,MON,A320,202.5693512,2.883333333
0,3378.270151,2125.160596,1,929.46,0,0,0,0,29.74,10000,0,0,DL221,DAL,B752,235.5327414,20.86666667
0,884.0431004,623.3581564,1,499.97,1,0,0,0,29.71,10000,0,0,FR3246,RYR,B738,234.2351693,6.766666667
0,2922.011326,1417.437268,1,920.97,2,0,0,0,29.71,10000,0,0,FI441,ICE,B752,228.2476219,11.35
0,2522.645183,977.4076594,1,688.41,0,0,0,0,29.71,10000,0,0,OS464,AUA,E190,215.910522,14.65
1,1676.324225,958.3921823,1,434.27,0,0,1,1,29.8,10000,0,0,FR4006,RYR,B738,267.0177068,3.7
0,1920.554686,1417.437268,1,494.44,1,0,0,0,29.71,10000,0,0,U21973,EZY,A320,175.7990908,9.75
0,2158.819146,1982.398709,1,575.7,2,0,0,0,29.71,10000,0,0,EI3723,EIN,AT76,189.4915064,13.46666667
0,2259.559016,1417.437268,1,648.07,3,0,0,0,29.68,10000,0,0,LH943,DLH,A320,194.0060086,13.68333333
1,1876.912742,836.489342,1,600.44,0,0,3,0,29.8,10000,0,0,FR3953,RYR,B738,286.8441307,6.666666667
1,1089.3513,687.1934466,1,360.49,0,0,1,1,29.8,10000,0,0,U21918,EZY,A320,273.6312405,1.95
0,1643.628283,1169.957521,1,481.13,4,0,0,0,29.68,10000,0,0,U21887,EZY,A319,175.973592,9.1
0,2869.490875,1417.437268,1,812.36,4,0,0,0,29.68,10000,0,0,SK4608,SAS,B737,182.1380634,17.1
0,1398.838852,1074.081608,1,553.58,4,0,0,0,29.68,10000,0,0,FR3214,RYR,B738,188.99439,11.85
0,2815.376892,1417.437268,1,873.74,5,0,0,0,29.68,10000,0,0,LS897,EXS,B738,176.0524164,15.18333333
0,1512.432944,1074.081608,1,615.43,5,0,0,0,29.68,10000,0,0,FR1145,RYR,B738,190.3967612,13.26666667
1,2146.579386,655.0851383,1,431.44,0,0,3,0,29.77,10000,0,0,ZB673,MON,A321,259.7193579,4.116666667
0,2966.704009,1417.437268,1,927.84,1,0,0,0,29.68,10000,0,0,VS77,VIR,B744,164.9036084,14.43333333
0,918.8539123,623.3581564,1,509.92,1,0,0,0,29.68,10000,0,0,FR3234,RYR,B738,168.2387186,5.266666667
0,1796.419655,1417.437268,1,450.1,2,0,0,0,29.68,10000,0,0,EK18,UAE,A388,165.9873151,15.3
1,742.2839026,0,1,231.09,0,0,2,0,29.71,10000,0,0,AF1068,AFR,A318,222.8370869,2.5
0,1080.097017,822.8717969,1,551.73,1,0,0,0,29.68,10000,0,0,KL1084,KLM,B738,220.7206937,7.333333333
0,1235.465587,0,1,362.83,2,0,0,0,29.68,10000,0,0,U21971,EZY,A320,217.3874401,7.75
1,1596.549771,836.489342,1,349.2,0,0,3,0,29.77,10000,0,0,ZB581,MON,A321,233.0117202,2.816666667
1,2490.499022,655.0851383,1,612.14,0,0,4,0,29.77,10000,0,0,ZB653,MON,A321,236.1208595,5.366666667
0,884.0431004,623.3581564,1,499.97,2,0,0,0,29.68,10000,0,0,FR4332,RYR,B738,216.5482832,9.083333333
0,1796.419655,1417.437268,1,450.1,3,0,0,0,29.68,10000,0,0,EI3325,EIN,AT76,214.4763205,5.666666667
1,1703.059659,0,1,494.87,0,0,2,0,29.88,10000,0,0,EY21,ETD,B789,271.9478167,6.233333333
0,1258.299527,634.051999,1,593.96,1,2,0,0,29.65,10000,0,0,U21845,EZY,A319,267.4504547,3.85
1,1456.674369,633.9280978,1,300.22,0,0,2,0,29.74,10000,0,0,U22921,EZY,A320,253.6676007,4.216666667
0,1564.740349,1169.957521,1,494.16,1,2,0,0,29.65,10000,0,0,DY4480,NAX,B738,279.5790281,10.26666667
0,1025.04476,756.3860818,1,528.89,1,2,0,0,29.65,10000,0,0,FR3218,RYR,B738,322.7152446,8.916666667
1,2148.456717,0,1,540.07,0,0,4,0,29.77,10000,0,0,ZB523,MON,A320,210.4112061,4.35
0,1129.20502,822.8717969,1,551.01,0,1,0,0,29.65,10000,0,0,AF1069,AFR,A318,290.426986,6.966666667
0,2259.559016,1417.437268,1,648.07,1,1,0,0,29.65,10000,0,0,LS887,EXS,B738,307.6116305,4.383333333
0,1130.859534,0,1,362.28,0,0,0,0,29.65,10000,0,0,U21833,EZY,A320,333.5216118,7.166666667
1,1606.841859,849.6170191,1,429.26,0,0,1,1,29.65,10000,0,0,FR562,RYR,B738,241.5641957,3.616666667
0,2118.821033,1953.337455,1,493.42,0,0,0,0,29.65,10000,0,0,U22922,EZY,A320,304.87224,12.96666667
1,1221.167427,617.3965138,1,405.36,0,0,3,0,29.68,10000,0,0,U21950,EZY,A320,161.6977848,1.616666667
0,2897.617875,1417.437268,1,927.53,0,0,0,0,29.62,10000,0,0,ZB676,MON,A321,290.4753304,13.45
0,2284.566396,977.4076594,1,586.4,1,0,0,0,29.62,10000,0,0,QR28,QTR,B788,300.5231286,5.6
0,3433.006472,2391.310179,1,783.43,2,0,0,0,29.62,10000,0,0,ZB574,MON,A320,307.6708021,18.4
0,759.1905594,0,1,410.08,3,0,0,0,29.62,10000,0,0,FR561,RYR,B738,297.5544721,7.4
0,1013.802444,623.3581564,1,514.84,3,0,0,0,29.62,10000,0,0,FR44,RYR,B738,291.6051195,10.8
1,2320.716305,1560.827307,1,439.32,0,0,1,0,29.8,10000,0,0,TK1995,THY,A321,266.1114809,9.483333333
0,1525.596727,1074.081608,1,543.48,2,0,0,0,29.62,10000,0,0,BA1399,BAW,A321,258.5821112,12.43333333
1,1307.124176,1114.131745,1,241.8,0,0,0,0,29.59,10000,0,0,LS792,EXS,B738,250.1215565,4.833333333
1,2008.379996,847.9826129,1,481.07,0,0,2,0,29.65,10000,0,0,EW1344,EWG,A320,227.3255505,7.833333333
1,2006.57983,970.6294578,1,549.96,0,0,2,1,29.77,10000,0,0,FR3806,RYR,B738,258.1110645,3.5
1,1934.768915,0,1,575.92,0,0,0,0,29.65,10000,0,0,BY9030,TOM,B788,258.6749442,5.75
0,2947.555719,1417.437268,1,890.7,0,0,0,0,29.62,10000,0,0,ZB614,MON,A321,280.7892948,12.75
0,1665.358517,1125.346912,1,225,1,0,0,0,29.62,10000,0,0,U21805,EZY,A320,246.3263538,7.166666667
1,1865.093998,789.7819588,1,630.06,0,0,0,0,29.62,10000,0,0,FR3215,RYR,B738,304.1841887,4.3
0,2235.425608,1078.779413,1,527.1,0,2,0,0,29.59,10000,0,0,TK1996,THY,A321,309.415731,13.26666667
1,2181.872994,1496.163462,1,407.93,0,0,2,1,29.62,10000,0,0,KL1093,KLM,B739,239.9628389,3.816666667
1,1565.372435,0,1,653.24,0,0,1,0,29.62,10000,0,0,LH2502,DLH,A320,288.5296575,5.066666667
1,1930.369402,573.0119876,1,387.16,0,0,1,0,29.62,10000,0,0,U2134,EZY,A319,248.0202872,4.5
1,2770.791103,1368.260072,1,725.48,0,0,1,0,29.65,10000,0,0,LS880,EXS,B752,296.9030859,6.533333333
1,2007.423662,655.0851383,1,494.36,0,0,2,2,29.65,10000,0,0,AY937,FIN,A319,277.3734123,3.516666667
0,1949.339075,866.2491974,1,471.18,0,0,0,0,29.59,10000,0,0,FR4116,RYR,B738,312.1323193,10.68333333
0,2554.173999,771.1784035,1,727.12,1,0,0,0,29.59,10000,0,0,ZB516,MON,A321,273.2118849,11.23333333
0,1860.914586,949.0490379,1,347.52,2,1,0,0,29.59,10000,0,0,FR3503,RYR,B738,302.1898267,10.06666667
1,431.1263665,0,1,278.45,0,0,1,0,29.62,10000,0,0,FR3235,RYR,B738,273.0118702,2.583333333
1,2259.885661,0,1,541.08,0,0,4,1,29.83,10000,0,0,PK701,PIA,B77W,205.6787292,6.783333333
0,859.8620368,0,1,469.43,2,0,0,0,29.59,10000,0,0,U21811,EZY,A320,279.6174668,2.883333333
0,2019.470282,0,1,745.34,0,0,0,0,29.59,10000,0,0,KL1094,KLM,B739,301.9904372,9.433333333
